name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity,Watts
Azza PSAZ-850PT14,,ATX,0.9574468085106382,0.35135135135135137,0.6000000000000001,,platinum,Semi,850
LC-Power LC V2.31,,TFX,0.0,0.10810810810810811,0.0,Black,white,False,400
SeaSonic PRIME Titanium,,ATX,1.0,0.24324324324324326,1.0,,titanium,Full,650
SHARKOON SilentStorm Icewind,,ATX,0.8723404255319148,0.1891891891891892,0.6000000000000001,White / Black,bronze,Semi,550
Replace Power RP-TFX-420W,,TFX,0.0,0.11891891891891893,0.0,,white,False,420
FSP Group ATX300-PA,,ATX,0.0,0.05405405405405406,0.0,,white,False,300
Enermax ENM750AWT,,ATX,0.8723404255319148,0.2972972972972973,0.6000000000000001,,bronze,Semi,750
Enermax EMD625AWT,,ATX,0.8723404255319148,0.22972972972972971,1.0,,bronze,Full,625
Raidmax RX-500AF,,ATX,0.8723404255319148,0.16216216216216217,0.0,,bronze,False,500
XFX TS,,ATX,0.925531914893617,0.24324324324324326,0.0,,gold,False,650
Corsair G600,,ATX,0.851063829787234,0.21621621621621623,0.0,,plus,False,600
Cooler Master V850 Platinum,,ATX,0.9574468085106382,0.35135135135135137,1.0,Black,platinum,Full,850
EVGA SuperNOVA 1000 PQ,,ATX,0.9574468085106382,0.43243243243243246,0.6000000000000001,Black,platinum,Semi,1000
Solid Gear SDGR-FLEX220,,Flex ATX,0.0,0.010810810810810811,0.0,,white,False,220
Rosewill Capstone G850,,ATX,0.925531914893617,0.35135135135135137,0.6000000000000001,,gold,Semi,850
OCZ Fatal1ty,,ATX,0.8723404255319148,0.1891891891891892,1.0,,bronze,Full,550
FSP Group Hydro PTM,,ATX,0.9574468085106382,0.24324324324324326,1.0,Black,platinum,Full,650
Rosewill Lightning,,ATX,0.925531914893617,0.5945945945945946,0.6000000000000001,,gold,Semi,1300
be quiet! System Power 10 U,,ATX,0.925531914893617,0.35135135135135137,0.0,Black,gold,False,850
Xilence XP430R8,,ATX,0.8723404255319148,0.12432432432432433,0.0,Black / Red,bronze,False,430
Mistel MX650 FANLESS,,ATX,0.9574468085106382,0.24324324324324326,1.0,Black,platinum,Full,650
Fractal Design Integra R2,,ATX,0.8723404255319148,0.2972972972972973,0.0,,bronze,False,750
Sentey SDP550-SS,,ATX,0.851063829787234,0.1891891891891892,0.0,,plus,False,550
Cooler Master Silent Pro M2,,ATX,0.9042553191489362,0.35135135135135137,0.6000000000000001,,silver,Semi,850
Antec True Power,,ATX,0.925531914893617,0.1891891891891892,0.0,,gold,False,550
FSP Group SFX Pro,,SFX,0.8723404255319148,0.08108108108108109,0.0,Black,bronze,False,350
Super Flower Golden Silent,,ATX,0.9574468085106382,0.16216216216216217,0.6000000000000001,,platinum,Semi,500
Thermaltake Toughpower,,ATX,0.925531914893617,0.43243243243243246,0.6000000000000001,,gold,Semi,1000
Solid Gear SDGR-650E,,ATX,0.0,0.24324324324324326,0.0,,white,False,650
Solid Gear SDGR-750E,,ATX,0.0,0.2972972972972973,0.0,,white,False,750
Topower ZU-550W,61.0,ATX,0.0,0.1891891891891892,0.0,,white,False,550
