name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed
Solidigm P41 Plus,49.99,1000,0.05,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Leven JS600,32.99,1000,0.033,SSD,0,2.5,SATA 6.0 Gb/s,550
Mushkin Source HC,,16000,,SSD,0,2.5,SATA 6.0 Gb/s,550
SK Hynix Platinum P41,71.98,1000,0.072,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Kingston NV2,204.99,4000,0.051,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Corsair MP600 CORE XT,219.99,4000,0.055,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
PNY CS900,34.99,1000,0.035,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Caviar Blue,22,500,0.044,7200,16,3.5,SATA 6.0 Gb/s,160
PNY CS900,61.99,2000,0.031,SSD,0,2.5,SATA 6.0 Gb/s,550
Sabrent Rocket 4 Plus,79.98,1000,0.08,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Mushkin ELEMENT,20.41,128,0.159,SSD,0,2.5,SATA 6.0 Gb/s,550
TEAMGROUP T-Force Vulcan Z,38.49,1000,0.038,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Red Pro,409.99,22000,0.019,7200,512,3.5,SATA 6.0 Gb/s,160
KIOXIA EXCERIA G2,,1000,,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Corsair MP600,62.99,1000,0.063,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Crucial P2,43.99,500,0.088,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital WD_BLACK,77.5,2000,0.039,7200,64,3.5,SATA 6.0 Gb/s,160
ADATA XPG SX8200 Pro,84.99,2000,0.042,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Acer Predator GM7000,109.99,2000,0.055,SSD,2048,M.2,M.2 PCIe 4.0 X4,7000
Patriot P300,14.99,128,0.117,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
SK Hynix Gold P31,51.19,1000,0.051,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Samsung 870 Evo,32.25,250,0.129,SSD,512,2.5,SATA 6.0 Gb/s,550
Timetec 35TTFP6PCIE,35.99,1000,0.036,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Crucial BX500,89.99,2000,0.045,SSD,0,2.5,SATA 6.0 Gb/s,550
Corsair MP600 CORE XT,54.99,1000,0.055,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Blue,52.83,3000,0.018,5400,64,3.5,SATA 6.0 Gb/s,160
Western Digital WD_BLACK,240.72,10000,0.024,7200,256,3.5,SATA 6.0 Gb/s,160
Western Digital Blue SN550,34,500,0.068,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
MSI SPATIUM M371,74.99,2000,0.037,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Black SN850,94.99,1000,0.095,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Acer Predator GM7000,249.99,4000,0.062,SSD,4096,M.2,M.2 PCIe 4.0 X4,7000
Samsung 990 Pro,,4000,,SSD,4096,M.2,M.2 PCIe 4.0 X4,7000
PNY CS900,21.99,500,0.044,SSD,0,2.5,SATA 6.0 Gb/s,550
Toshiba DT01ACA100,50.08,1000,0.05,7200,32,3.5,SATA 6.0 Gb/s,160
